task_id,title,category,deadline,difficulty,status,skill_id
1,Run Coral local CSV query,SQL,2026-05-25,5,pending,1
2,Write cross-source priority query,SQL,2026-05-25,5,pending,1
3,Improve dashboard UI sections,Web Dev,2026-05-26,4,pending,2
4,Create GitHub README proof,GitHub,2026-05-26,3,pending,4
5,Record first demo walkthrough,Hackathon,2026-05-27,4,pending,5
6,Solve 5 array problems,DSA,2026-05-28,3,pending,3
7,Build project filter feature,Web Dev,2026-05-28,4,pending,2
8,Test deployed Vercel link,Hackathon,2026-05-29,2,pending,5
9,Prepare final submission writeup,Hackathon,2026-05-30,4,pending,5
10,Polish GitHub repo structure,GitHub,2026-05-30,3,pending,4S
